PropertyCount,GroupName,ContactPropertyID,ContactPropertyName,IsDefault,Label,InputName,InputID,Category,InputType,FieldTypeCode,ContactPropertyDescription,IsDeleted,GroupID,IsContactPropertySystem,IsUsedInForm,AllowManualChange,TenantID,OwnerID,OwnerName,ModifiedUserID,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,State,ContactPropertyOptions
0,Khác,87b3b921-070f-4ed3-a1d0-bcc7560af2d6,(*) Voucher có thời hạn đến 31/08/2021,false,(*) Voucher có thời hạn đến 31/08/2021,voucher_co_thoi_han_den_31082021_87b3b921_070f_4ed3_a1d0_bcc7560af2d6,voucher_co_thoi_han_den_31082021_87b3b921_070f_4ed3_a1d0_bcc7560af2d6,1,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,0e29bb6e-e633-4634-b0f0-15ed84c62328,Đỗ Quốc Việt Anh,0e29bb6e-e633-4634-b0f0-15ed84c62328,2021-08-06T03:19:25.000Z,A-0285,2021-08-06T03:19:25.000Z,A-0285,0,
0,Khác,00cc367f-31a3-4a41-b598-f8b16715e1dd,1111,false,1111,aim1111,aim1111,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-11-30T02:15:27.000Z,A-0295,2021-11-30T02:15:27.000Z,A-0295,0,
0,Khác,5fa02375-2a82-4006-95cd-bfacea9cbe30,1112 test,false,1112 test,aim1112_test,aim1112_test,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-11-30T02:14:14.000Z,A-0295,2021-11-30T02:14:14.000Z,A-0295,0,
19,Khác,ae8039dc-96b8-4d19-9f47-ff74ebf42cf4,1510 name,false,1510 name,1510_name,1510_name,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-10-06T08:22:51.000Z,A-0295,2021-10-06T08:22:51.000Z,A-0295,0,
0,Khác,bfa60eb4-5004-42a2-a652-ff1c6863e37b,1510 name test,false,1510 name test,1510_name_test,1510_name_test,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-10-06T08:23:06.000Z,A-0295,2021-10-06T08:23:06.000Z,A-0295,0,
0,Khác,1fde1b17-5096-4ccb-a38b-65df75f0a4da,abc,false,abc,abc,abc,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,7d296928-3777-46fb-b41e-82fc3a9fdf1f,Nguyễn Hữu Hải,7d296928-3777-46fb-b41e-82fc3a9fdf1f,2021-08-19T03:00:52.000Z,B06-0281,2021-08-19T03:00:52.000Z,B06-0281,0,
0,Thông tin liên hệ,8f86c834-fcab-47c8-aef3-0b27e9ae065d,act tai lieu,false,act tai lieu,act_tai_lieu,act_tai_lieu,2,0,slt,,false,e090b4eb-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-09-13T09:03:04.000Z,A-0295,2021-09-13T09:03:04.000Z,A-0295,0,
0,Khác,f1a5ec34-f0f9-45cc-ab41-470772422bca,act tai lieu 2,false,act tai lieu 2,act_tai_lieu_2,act_tai_lieu_2,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-09-13T09:03:32.000Z,A-0295,2021-09-13T09:03:32.000Z,A-0295,0,
0,Thông tin liên hệ,bf92101c-791c-4e46-8ecb-c59b1321ffbb,Amis CRM,false,,amis_crm,amis_crm,2,2,scb,test,false,e090b4eb-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,f7197d51-55ce-4a39-89b2-c95b2ee6d6db,Hoàng Đức Khiêm,f7197d51-55ce-4a39-89b2-c95b2ee6d6db,2022-05-10T03:18:47.000Z,Hoàng Đức Khiêm,2022-05-10T03:18:47.000Z,Hoàng Đức Khiêm,0,"[{""value"":""Amis CRM"",""label"":""Amis CRM"",""select"":false,""isCheck"":true}]"
2,Khác,0d7e5612-9597-457d-9563-4b992f853db3,Anh chị có hài lòng về buổi hội thảo không? *,false,Anh chị có hài lòng về buổi hội thảo không? *,anh_chi_co_hai_long_ve_buoi_hoi_thao_khong_0d7e5612_9597_457d_9563_4b992f853db3,anh_chi_co_hai_long_ve_buoi_hoi_thao_khong_0d7e5612_9597_457d_9563_4b992f853db3,1,0,dropdown,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-08-09T04:57:28.000Z,A-0295,2021-08-09T04:57:28.000Z,A-0295,0,"[{""select"":false,""label"":""Rất hài lòng"",""value"":""Rất hài lòng""},{""select"":false,""label"":""Hài lòng"",""value"":""Hài lòng""},{""select"":false,""label"":""Chưa đạt"",""value"":""Chưa đạt""}]"
2,Khác,92c49380-d303-4cf7-a8b7-5914ba15fd26,Anh chị có hài lòng về buổi tổ chức của buổi hội thảo không? *,false,Anh chị có hài lòng về buổi tổ chức của buổi hội thảo không? *,anh_chi_co_hai_long_ve_buoi_to_chuc_cua_buoi_hoi_thao_khong_92c49380_d303_4cf7_a8b7_5914ba15fd26,anh_chi_co_hai_long_ve_buoi_to_chuc_cua_buoi_hoi_thao_khong_92c49380_d303_4cf7_a8b7_5914ba15fd26,1,2,mcb,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-08-09T03:40:02.000Z,A-0295,2021-08-09T03:40:02.000Z,A-0295,0,"[{""select"":false,""label"":""Rất hài lòng"",""value"":""Rất hài lòng""},{""select"":false,""label"":""Hài lòng"",""value"":""Hài lòng""},{""select"":false,""label"":""Chưa đạt"",""value"":""Chưa đạt""}]"
0,Khác,a6f3924d-f072-4b5d-88c8-9ba9caeea55a,Anh chị có hài lòng về công tác tổ chức của buổi hội thảo không? ,false,Anh chị có hài lòng về công tác tổ chức của buổi hội thảo không? ,anh_chi_co_hai_long_ve_cong_tac_to_chuc_cua_buoi_hoi_thao_khong_a6f3924d_f072_4b5d_88c8_9ba9caeea55a,anh_chi_co_hai_long_ve_cong_tac_to_chuc_cua_buoi_hoi_thao_khong_a6f3924d_f072_4b5d_88c8_9ba9caeea55a,1,2,mcb,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-08-09T03:15:04.000Z,A-0295,2021-08-09T03:15:04.000Z,A-0295,0,"[{""select"":false,""label"":""Rất hài lòng"",""value"":""Rất hài lòng""},{""select"":false,""label"":""Hài lòng"",""value"":""Hài lòng""},{""select"":false,""label"":""Chưa đạt"",""value"":""Chưa đạt""}]"
1,Thông tin liên hệ,f04818f4-3188-4783-be3b-4201f41321e6,Anh chị có hài lòng về công tác tổ chức của buổi hội thảo không? *,false,Anh chị có hài lòng về công tác tổ chức của buổi hội thảo không? *,anh_chi_co_hai_long_ve_cong_tac_to_chuc_cua_buoi_hoi_thao_khong,anh_chi_co_hai_long_ve_cong_tac_to_chuc_cua_buoi_hoi_thao_khong,2,3,radio,,false,e090b4eb-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-09-01T08:35:44.000Z,A-0295,2021-09-01T08:35:44.000Z,A-0295,0,"[{""value"":""Rất hài lòng"",""label"":""Rất hài lòng"",""select"":true,""isCheck"":true},{""value"":""Hài lòng"",""label"":""Hài lòng"",""select"":false,""isCheck"":true},{""value"":""Chưa đạt"",""label"":""Chưa đạt"",""select"":false,""isCheck"":true}]"
1,Khác,34c02571-8e56-4f75-b4f6-31b49ed56fda,Anh chị có muốn được tư vấn công cụ gửi Email Marketing chuyên nghiệp - tự động MISA AMIS aiMarketing không?,false,Anh chị có muốn được tư vấn công cụ gửi Email Marketing chuyên nghiệp - tự động MISA AMIS aiMarketing không?,anh_chi_co_muon_duoc_tu_van_cong_cu_gui_email_marketing_chuyen_nghiep_tu_dong_misa_amis_aimarketing_khong,anh_chi_co_muon_duoc_tu_van_cong_cu_gui_email_marketing_chuyen_nghiep_tu_dong_misa_amis_aimarketing_khong,2,2,mcb,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,1bc12150-62cc-44dc-bb9e-da15a753a495,Nguyễn Thị Hồng,1bc12150-62cc-44dc-bb9e-da15a753a495,2022-04-22T01:42:10.000Z,B06-0504,2022-04-22T01:42:10.000Z,B06-0504,0,"[{""value"":""Tôi muốn được tư vấn"",""label"":""Tôi muốn được tư vấn"",""select"":false,""isCheck"":true},{""value"":""Tôi chưa có nhu cầu"",""label"":""Tôi chưa có nhu cầu"",""select"":false,""isCheck"":true}]"
6,Khác,0dab41d7-37ee-4d5f-beed-cf1a502ed86a,Anh chị có vui lòng nhận tư vấn không,false,Anh chị có vui lòng nhận tư vấn không,anh_chi_co_vui_long_nhan_tu_van_khong,anh_chi_co_vui_long_nhan_tu_van_khong,2,2,mcb,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,bdf4c9e1-c0bd-484d-b75e-d2b49383cc0c,Nguyễn Văn Linh,bdf4c9e1-c0bd-484d-b75e-d2b49383cc0c,2021-10-29T07:27:43.000Z,A-0269,2021-10-29T07:28:30.000Z,A-0269,0,"[{""value"":""Tôi muốn được tư vấn"",""label"":""Tôi muốn được tư vấn"",""select"":false,""isCheck"":true},{""value"":""Tôi chưa có nhu cầu"",""label"":""Tôi chưa có nhu cầu"",""select"":false,""isCheck"":true}]"
7,Thông tin liên hệ,3247c680-c8c0-4631-b19a-46efceb190c6,Anh chị đang theo dõi các báo tài chính của công ty bằng cách nào?,false,Anh chị đang theo dõi các báo tài chính của công ty bằng cách nào?,anh_chi_dang_quan_ly_tai_chinh_ke_toan_bang_cong_cu_nao,anh_chi_dang_quan_ly_tai_chinh_ke_toan_bang_cong_cu_nao,2,2,mcb,,false,e090b4eb-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b95c9945-011b-40dd-96b5-e3e2275a70d3,Đậu Thị Kiều Lục,a12167e2-fa72-487d-9cb5-eb473753d18b,2021-10-29T02:52:34.000Z,A28-0001,2021-10-29T07:34:45.000Z,A-0258,0,"[{""value"":""Tự tính toán"",""label"":""Tự tính toán"",""select"":false,""isCheck"":true},{""value"":""Kế toán làm báo cáo định kỳ"",""label"":""Kế toán làm báo cáo định kỳ"",""select"":false,""isCheck"":true},{""value"":""Theo dõi trên phần mềm"",""label"":""Theo dõi trên phần mềm"",""select"":false,""isCheck"":true}]"
7,Khác,fd617f02-6ef0-4175-ae9d-7b0601a4335d,"Anh, chị biết sự kiện này qua đâu?",false,"Anh, chị biết sự kiện này qua đâu?",anh_chi_biet_su_kien_nay_qua_dau,anh_chi_biet_su_kien_nay_qua_dau,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,877e767d-5e30-4cb4-a05c-4f159a4e495c,Lưu Thị Ngọc Ánh,877e767d-5e30-4cb4-a05c-4f159a4e495c,2022-05-04T01:56:39.000Z,A-0233,2022-05-04T01:56:39.000Z,A-0233,0,
0,Khác,e4175e2d-11b3-463d-947c-72b4ac59507e,"Anh, chị có muốn tư vấn 1-1 về ứng dụng công nghệ hiệu quả trong quản lý hiệu suất công việc?",false,"Anh, chị có muốn tư vấn 1-1 về ứng dụng công nghệ hiệu quả trong quản lý hiệu suất công việc?",anh_chi_co_muon_tu_van_1_1_ve_ung_dung_cong_nghe_hieu_qua_trong_quan_ly_hieu_suat_cong_viec,anh_chi_co_muon_tu_van_1_1_ve_ung_dung_cong_nghe_hieu_qua_trong_quan_ly_hieu_suat_cong_viec,2,4,mlt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,877e767d-5e30-4cb4-a05c-4f159a4e495c,Lưu Thị Ngọc Ánh,877e767d-5e30-4cb4-a05c-4f159a4e495c,2022-02-11T08:04:52.000Z,A-0233,2022-02-11T08:04:52.000Z,A-0233,0,
2,Khác,97f386e9-3c2e-41dd-b743-54a2895b9301,"Anh, chị thích hình thức học nào nhất?",false,"Anh, chị thích hình thức học nào nhất?",anh_chi_thich_hinh_thuc_hoc_nao_nhat,anh_chi_thich_hinh_thuc_hoc_nao_nhat,2,3,radio,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2022-02-09T02:15:23.000Z,A-0295,2022-02-09T02:15:23.000Z,A-0295,0,"[{""value"":""Học chủ động qua video, hỏi đáp với giảng viên khi cần."",""label"":""Học chủ động qua video, hỏi đáp với giảng viên khi cần."",""select"":true,""isCheck"":true},{""value"":""Học trực tuyến (Online), có tương tác với giảng viên."",""label"":""Học trực tuyến (Online), có tương tác với giảng viên."",""select"":false,""isCheck"":true},{""value"":""Học trực tiếp (Offline) tại lớp."",""label"":""Học trực tiếp (Offline) tại lớp."",""select"":false,""isCheck"":true},{""value"":""Khác"",""label"":""Khác"",""select"":false,""isCheck"":true}]"
